,budget,gross,runtime,score,votes,Year_Released
0,19000000,46998772,146,8.4,927000,1980
1,4500000,58853106,104,5.8,65000,1980
2,18000000,538375067,124,8.7,1200000,1980
3,3500000,83453539,88,7.7,221000,1980
4,6000000,39846344,98,7.3,108000,1980
5,550000,39754601,95,6.4,123000,1980
6,27000000,115229890,133,7.9,188000,1980
7,18000000,23402427,129,8.2,330000,1980
8,54000000,108185706,127,6.8,101000,1981
9,10000000,15795189,100,7,10000,1980
10,15000000,70687344,116,6.1,18000,1980
11,5000000,30031783,109,7.3,54000,1984
12,20000000,49823037,114,5.3,30000,1980
13,6000000,54766923,124,7.7,49000,1980
14,6500000,31899000,104,7.1,37000,1980
15,5100000,9709597,103,7.2,27000,1980
16,35589876,21202829,134,6.6,21000,1980
17,10000000,103300686,109,6.9,29000,1980
18,1000000,21448782,89,6.8,66000,1980
19,35589876,101300000,111,6.8,26000,1980
20,11000000,19814523,102,6.5,20000,1980
21,44000000,3484523,219,6.8,14000,1981
22,12000000,16647800,103,6.7,22000,1980
23,20000000,22762571,96,5.3,12000,1980
24,35589876,46918287,132,6.4,14000,1980
25,35589876,19853892,102,6.9,33000,1980
26,35589876,34326249,96,6.5,5100,1980
27,36000000,78500541,115,5,4100,1980
28,9000000,37121708,131,7.2,17000,1980
29,4800000,22743674,117,6.2,22000,1980
30,35589876,22482952,102,7.1,8900,1980
31,35589876,14796236,92,5.4,16000,1980
32,35589876,66132626,100,5.3,15000,1980
33,5100000,534816,97,6.1,604,1981
34,35589876,43995918,102,6.7,9100,1980
35,10000000,69847348,109,6.2,24000,1980
36,4000000,10000000,91,6.3,4300,1980
37,3000000,6342668,101,6,11000,1980
38,35589876,27118000,115,5.9,4000,1980
39,35589876,67182787,124,7.5,17000,1980
40,35589876,5000000,84,6.3,5700,1981
41,35589876,78500541,107,7.9,13000,1980
42,3500000,7063886,131,7.1,9000,1980
43,35589876,6659377,99,6.6,11000,1980
44,35589876,8415112,101,4.8,2000,1980
45,35589876,41675194,99,6.1,12000,1980
46,22000000,15716828,109,5.3,3900,1980
47,300000,78500541,82,4.6,3900,1980
48,15000000,14662035,94,5.1,3100,1980
49,35000000,78500541,173,8.3,15000,1981
50,10000000,10389003,89,7.3,22000,1980
51,7000000,4309490,95,6.8,4500,1980
52,20000000,78500541,124,4.2,3700,1980
53,6500000,24265659,116,6.1,11000,1980
54,35589876,12516,139,7,6700,1981
55,35589876,78500541,91,6.7,2900,1980
56,20000000,3763988,121,4.6,2600,1980
57,6000000,6216067,103,5.4,2400,1980
58,4000000,18971000,103,5.1,5200,1980
59,11000000,78500541,97,5.3,2400,1981
60,35589876,18000000,100,5,5300,1980
61,35589876,14287755,123,6.7,1900,1980
62,35589876,78500541,91,5.5,875,1981
63,35589876,17815212,119,6.3,1400,1980
64,35589876,3910019,103,7.3,2800,1980
65,35589876,7653061,93,6.3,2000,1980
66,900000,78500541,150,8.1,12000,1980
67,35589876,10697276,100,5.1,2000,1980
68,35589876,9870727,86,6.6,915,1980
69,35589876,15934737,98,6,1500,1980
70,35589876,14155617,103,4.7,1800,1980
71,35589876,2013193,75,7.3,2900,1980
72,35589876,5215015,97,5.5,965,1980
73,35589876,4226370,106,5.2,1100,1980
74,35589876,2086905,112,5.5,585,1980
75,6000000,11000000,97,5.8,1300,1980
76,35589876,6321392,103,6.3,1400,1980
77,5500000,4400000,115,5.9,415,1980
78,35589876,109749,95,7.4,1300,1980
79,3000000,78500541,108,6.9,1000,1983
80,5100000,59167,94,4,546,1980
81,35589876,2128395,96,4.8,643,1980
82,35589876,2806659,97,5.2,351,1980
83,35589876,167451,83,7.9,4800,1980
84,35589876,14504277,94,5.2,2100,1980
85,35589876,804713,105,6.5,269,1980
86,35589876,6950125,102,5.8,1900,1981
87,35589876,6621520,89,4.3,740,1980
88,35589876,2261507,96,6.8,599,1980
89,35589876,1175855,105,6.5,211,1980
90,35589876,15198912,97,4.3,593,1980
91,35589876,78500541,89,6.7,230,1982
92,18000000,389925971,115,8.4,905000,1981
93,35589876,24058838,113,7.4,32000,1981
94,10000000,30669378,97,7.5,97000,1981
95,6000000,25244626,99,7.2,131000,1981
96,350000,2956630,85,7.5,192000,1983
97,2500000,111289673,94,6.2,40000,1982
98,18000000,12000000,108,7.4,47000,1981
99,15000000,41092328,118,6.9,42000,1981
100,11000000,34971136,140,7.4,59000,1981
101,3000000,23668369,96,7.6,170000,1982
102,35589876,11487676,149,8.3,237000,1982
103,10000000,85297000,106,6.9,68000,1981
104,35589876,1113538,124,7.4,27000,1983
